#OK
#SQL= select Xoff,  Rvir from miniMDR1..BDMW
#	where snapnum = 66 and Vrms between 300 and 1000
#MAXROWS UNLIMITED
#QUERYTIMEOUT 1400 sec
#DATE 2013-02-09 04:17:56.199 CET
#QUERYTIME 1445 millisec
#COLUMN 1 name=Xoff JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 2 name=Rvir JDBC_TYPE=7 JDBC_TYPENAME=real
Xoff,Rvir
0.0415,0.3569
0.1593,0.3628
0.0885,0.0545
0.1063,0.3028
0.0684,0.4297
0.1037,0.2883
0.0949,0.7034
0.02,0.396
0.0499,0.3108
0.0413,0.3513
0.0989,0.5726
0.0276,0.3354
0.0597,0.2902
0.0676,0.3388
0.0285,0.3413
0.1587,0.3645
0.06,0.8039
0.0295,0.3861
0.0251,0.3751
0.1125,0.331
0.0353,0.3496
0.0459,0.4984
0.1609,0.0324
0.0515,0.3521
0.051,0.3286
0.0885,0.5281
0.0339,0.31
0.0854,0.2707
0.0445,0.388
0.0632,0.6324
0.04,0.3602
0.0369,0.3791
0.1176,0.1512
0.0501,0.3567
0.2253,0.3695
0.0314,0.3227
0.0799,0.3682
0.1127,0.3996
0.0235,0.4586
0.2418,0.5492
0.1512,0.3677
0.0446,0.3351
0.0345,0.6631
0.0366,0.5472
0.0422,0.3015
0.0442,0.4525
0.0752,0.4263
0.0773,0.3056
0.0502,0.479
0.0371,0.358
0.0919,0.4767
0.0934,0.4801
0.1638,0.3277
0.0537,0.3119
0.1267,0.3308
0.0341,0.4452
0.0364,0.342
0.1159,0.7409
0.0407,0.495
0.0421,0.3623
0.0067,0.3578
0.0777,0.4181
0.0163,0.5817
0.0544,0.382
0.049,0.8901
0.0682,0.1718
0.0419,0.5395
0.0832,0.0296
0.0591,0.4506
0.0931,0.1264
0.0789,0.5494
0.0512,0.3278
0.1063,0.3218
0.0156,0.5888
0.1667,0.1723
0.1716,0.4975
0.128,0.4385
0.0354,0.5725
0.0998,0.3606
0.0639,0.3292
0.1879,0.4889
0.0957,0.3262
0.0547,0.5434
0.0298,0.4945
0.079,0.3902
0.0696,0.4762
0.1484,0.3617
0.0673,0.1604
0.0342,0.4171
0.0904,0.1916
0.0423,0.3411
0.034,0.3163
0.0583,0.3284
0.0551,0.4448
0.0029,0.4739
0.0458,0.3297
0.0232,0.7233
0.0382,0.3127
0.06,0.0307
0.1107,0.3297
0.0274,0.2768
0.0381,0.6899
0.033,0.3575
0.0783,0.3436
0.0345,0.3582
0.0318,0.3183
0.1004,0.4466
0.1408,0.3678
0.0503,0.4454
0.0369,0.1334
0.1436,0.2004
0.1358,0.0668
0.0684,0.3768
0.0473,0.365
0.1053,0.3827
0.0483,0.354
0.0549,0.3833
0.0382,0.3276
0.0277,0.4868
0.063,0.3191
0.0243,0.4609
0.0419,0.3305
0.0659,0.3934
0.1491,0.0263
0.0927,0.3574
0.1134,0.0394
0.0527,0.4195
0.0824,0.4835
0.0501,0.5188
0.1639,0.9484
0.0269,0.4082
0.0501,0.4543
0.0497,0.538
0.0741,0.3147
0.0338,0.3384
0.1141,0.3777
0.0991,0.4557
0.0394,0.6232
0.0197,0.3343
0.0784,0.8715
0.1365,0.2473
0.0609,0.2326
0.023,0.3231
0.0458,0.6089
0.0211,0.5189
0.0661,0.42
0.0291,0.9383
0.05,0.3322
0.0256,0.8977
0.2095,0.3576
0.0688,0.4155
0.0309,0.3386
0.0839,0.3293
0.0505,0.4048
0.03,0.3526
0.1229,0.3321
0.0791,0.4617
0.0575,0.8373
0.0915,0.4175
0.0889,0.358
0.1721,0.4096
0.0414,0.4235
0.0269,0.4431
0.1269,0.0435
0.1471,0.0535
0.0875,0.3728
0.0598,0.3426
0.1272,0.3243
0.0378,0.2304
0.0135,0.9643
0.1954,0.0339
#OK
